,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_base_estimator__max_depth,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
39,44.3303970098,0.955356001854,0.263060771319,15.5842095286,3,180,"{'n_estimators': 180, 'base_estimator__max_depth': 3}",21,0.260281559906,15.6619629617,0.265839982733,15.5064560956,0.166073918343,0.1206189394,0.00277921141351,0.0777534330628
40,46.7350000143,0.874801397324,0.262813427931,15.6009394298,3,190,"{'n_estimators': 190, 'base_estimator__max_depth': 3}",65,0.260026844864,15.6740038906,0.265600010997,15.5278749691,0.126237988472,0.00169944763184,0.00278658306647,0.0730644607897
41,49.0338140726,0.914335489273,0.262892850711,15.6153858351,3,200,"{'n_estimators': 200, 'base_estimator__max_depth': 3}",47,0.260094029597,15.7105052588,0.265691671826,15.5202664113,0.0349160432816,0.00173449516296,0.0027988211148,0.0951194237402
42,51.4770789146,0.954280972481,0.263224278117,15.6304406044,3,210,"{'n_estimators': 210, 'base_estimator__max_depth': 3}",6,0.259976134303,15.6652889835,0.266472421932,15.5955922253,0.0236930847168,0.000232815742493,0.00324814381441,0.0348483790979
43,53.9348375797,0.999068021774,0.262955144933,15.7313227825,3,220,"{'n_estimators': 220, 'base_estimator__max_depth': 3}",37,0.259846043514,15.8284351157,0.266064246353,15.6342104493,0.0316295623779,0.00028395652771,0.00310910141943,0.0971123331956
44,56.3611990213,1.03851306438,0.262978863002,15.7689656122,3,230,"{'n_estimators': 230, 'base_estimator__max_depth': 3}",32,0.260247114562,15.9123408756,0.265710611442,15.6255903489,0.0218039751053,0.00332605838776,0.00273174844025,0.14337526335
45,58.8434020281,1.0764465332,0.262955329491,15.7874683676,3,240,"{'n_estimators': 240, 'base_estimator__max_depth': 3}",35,0.260290959627,15.9454585273,0.265619699355,15.6294782079,0.0200189352036,0.00455451011658,0.00266436986382,0.15799015969
46,61.2783490419,1.11704242229,0.263208310478,15.8330706334,3,250,"{'n_estimators': 250, 'base_estimator__max_depth': 3}",7,0.260415397044,15.9464734004,0.266001223912,15.7196678663,0.0306130647659,0.00270140171051,0.00279291343393,0.113402767082
47,63.7335150242,1.15368843079,0.26300327793,15.8674955702,3,260,"{'n_estimators': 260, 'base_estimator__max_depth': 3}",29,0.260386994291,15.9877540043,0.265619561568,15.7472371362,0.0380721092224,0.00420546531677,0.00261628363859,0.120258434072
48,66.6094679832,1.19576847553,0.263143770962,15.8519794966,3,270,"{'n_estimators': 270, 'base_estimator__max_depth': 3}",11,0.260222773403,15.9969149963,0.266064768522,15.707043997,0.437083005905,0.00251042842865,0.00292099755957,0.144935499609
