EventNumber,mBB,dRBB,dPhiVBB,dPhiLBmin,Mtop,dYWH,pTV,pTB1,pTB2,mTW,MET
915016,175.0,3.70472860336,3.11260509491,0.239308238029,166288.734375,0.764140665531,263426.375,344.238189697,73.181968689,6374.92382812,202.138320923
8534504,165.810012817,2.74598264694,3.05312943459,0.321776270866,162269.15625,2.2718744278,168872.71875,177.255157471,35.2283477783,46383.6289062,86.6637878418
12639762,175.0,2.78079032898,3.11456561089,1.58262300491,333292.5,1.87022566795,227166.3125,207.558944702,22.2792243958,29020.5273438,164.983322144
215301,175.0,3.42178177834,3.1351556778,0.657553315163,308179.5625,2.0225212574,179524.9375,219.604873657,49.9463768005,49973.7265625,131.695495605
961130,115.519378662,1.56014680862,3.11524558067,2.01455640793,151470.8125,0.770614504814,201116.046875,190.644760132,22.4801082611,58418.3789062,31.467546463
815701,175.0,2.93826270103,3.0576608181,0.0487199574709,170740.390625,2.52880907059,184061.609375,191.931869507,30.6062850952,77527.2734375,109.500915527
22321839,90.4045181274,1.36538636684,3.07142758369,0.929197728634,115111.117188,0.72290712595,164644.796875,183.951248169,22.8086032867,156118.984375,186.147918701
32348832,111.333267212,2.20215559006,2.7866897583,1.29023563862,171704.390625,1.02999615669,152405.140625,135.48248291,20.4797058105,51611.3359375,77.4066848755
791045,112.635932922,1.27619946003,3.05203390121,2.75790119171,231337.984375,0.26074463129,157670.703125,97.9458236694,67.6491241455,95578.9453125,26.9003677368
45740,135.667770386,1.87107956409,3.09915661812,1.85875928402,157461.046875,0.675545990467,167237.53125,215.187362671,27.3460083008,99265.90625,78.6306381226
247312,120.346298218,1.36380505562,3.09937763214,2.22211503983,209676.515625,0.872034847736,185151.203125,159.397506714,46.4224319458,17287.4023438,128.419555664
837454,54.4242286682,0.627985060215,3.13849282265,2.76849794388,192679.953125,0.857537746429,188997.84375,160.755874634,31.8818683624,5908.37695312,56.4277038574
