,nCuts,nTrees,ROCint
233,230,260,0.701333333333
234,230,270,0.701111111111
235,230,280,0.701111111111
236,230,290,0.701
237,230,300,0.700888888889
238,240,140,0.700888888889
239,240,150,0.701111111111
240,240,160,0.701333333333
241,240,170,0.701222222222
242,240,180,0.701333333333
243,240,190,0.701222222222
244,240,200,0.701555555556
245,240,210,0.701555555556
246,240,220,0.701222222222
247,240,230,0.701222222222
248,240,240,0.701222222222
249,240,250,0.700888888889
250,240,260,0.700777777778
251,240,270,0.700666666667
252,240,280,0.700666666667
253,240,290,0.700555555556
254,240,300,0.700222222222
255,250,140,0.701111111111
256,250,150,0.701111111111
257,250,160,0.701111111111
258,250,170,0.701333333333
259,250,180,0.701222222222
260,250,190,0.701111111111
261,250,200,0.701222222222
262,250,210,0.701333333333
263,250,220,0.701222222222
264,250,230,0.701111111111
265,250,240,0.701222222222
266,250,250,0.700888888889
267,250,260,0.700888888889
268,250,270,0.701
269,250,280,0.700888888889
270,250,290,0.700444444444
271,250,300,0.700555555556
272,260,140,0.701333333333
273,260,150,0.701555555556
274,260,160,0.701666666667
275,260,170,0.701555555556
276,260,180,0.701666666667
277,260,190,0.701777777778
278,260,200,0.701555555556
279,260,210,0.702
280,260,220,0.701888888889
281,260,230,0.701888888889
282,260,240,0.701666666667
283,260,250,0.701444444444
284,260,260,0.701444444444
285,260,270,0.701444444444
286,260,280,0.701444444444
287,260,290,0.701222222222
288,260,300,0.701111111111
289,270,140,0.700888888889
290,270,150,0.701
291,270,160,0.701333333333
292,270,170,0.701444444444
293,270,180,0.701555555556
294,270,190,0.701666666667
295,270,200,0.701777777778
296,270,210,0.701777777778
297,270,220,0.701666666667
298,270,230,0.701444444444
299,270,240,0.701444444444
300,270,250,0.701111111111
301,270,260,0.701
302,270,270,0.700888888889
303,270,280,0.700777777778
304,270,290,0.700666666667
305,270,300,0.700555555556
306,280,140,0.700777777778
307,280,150,0.700777777778
308,280,160,0.701
309,280,170,0.701444444444
310,280,180,0.701444444444
311,280,190,0.701333333333
312,280,200,0.701333333333
313,280,210,0.701555555556
314,280,220,0.701555555556
315,280,230,0.701444444444
316,280,240,0.701222222222
317,280,250,0.701111111111
318,280,260,0.701111111111
319,280,270,0.701111111111
320,280,280,0.701111111111
321,280,290,0.701
322,280,300,0.700777777778
323,290,140,0.700666666667
324,290,150,0.700888888889
325,290,160,0.701111111111
326,290,170,0.701222222222
327,290,180,0.701222222222
328,290,190,0.701222222222
329,290,200,0.701333333333
330,290,210,0.701444444444
331,290,220,0.701444444444
332,290,230,0.701333333333
333,290,240,0.701222222222
334,290,250,0.701111111111
335,290,260,0.701
336,290,270,0.701333333333
337,290,280,0.701333333333
338,290,290,0.701
339,290,300,0.700777777778
340,300,140,0.701111111111
341,300,150,0.701111111111
342,300,160,0.701444444444
343,300,170,0.701333333333
344,300,180,0.701444444444
345,300,190,0.701222222222
346,300,200,0.701333333333
347,300,210,0.701444444444
348,300,220,0.701444444444
349,300,230,0.701555555556
350,300,240,0.701444444444
351,300,250,0.701222222222
352,300,260,0.701222222222
353,300,270,0.700888888889
354,300,280,0.700777777778
355,300,290,0.700555555556
356,300,300,0.700444444444
