,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_base_estimator__max_depth,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
38,91.2605484724,0.878010034561,1.11847183279,54.4474566151,2,430,"{'n_estimators': 430, 'base_estimator__max_depth': 2}",227,1.08580524789,55.7014277951,1.15113841769,53.1934854352,2.5637036562,0.0213241577148,0.0326665849002,1.25397117994
39,93.1605745554,0.953763961792,1.12265507355,54.4137567492,2,440,"{'n_estimators': 440, 'base_estimator__max_depth': 2}",221,1.0914684509,55.6012891198,1.1538416962,53.2262243786,5.04260551929,0.0950520038605,0.0311866226491,1.18753237061
40,92.8929530382,1.06305456161,1.11815194305,54.4552243672,2,450,"{'n_estimators': 450, 'base_estimator__max_depth': 2}",228,1.09357225266,55.6749102373,1.14273163345,53.2355384971,2.07967603207,0.148222446442,0.0245796903956,1.21968587005
41,95.6746045351,1.14463436604,1.12286014442,54.4417463324,2,460,"{'n_estimators': 460, 'base_estimator__max_depth': 2}",219,1.09607262435,55.6081413171,1.1496476645,53.2753513476,3.58737146854,0.203244566917,0.0267875200727,1.16639498478
42,96.1370959282,0.967565059662,1.12280622195,54.5634607451,2,470,"{'n_estimators': 470, 'base_estimator__max_depth': 2}",220,1.09519212667,55.9321340322,1.15042031724,53.194787458,1.65320014954,0.0369238853455,0.0276140952811,1.36867328706
43,101.155225039,1.02632856369,1.12300345785,54.5254982627,2,480,"{'n_estimators': 480, 'base_estimator__max_depth': 2}",217,1.09484876541,55.8504647732,1.15115815028,53.2005317522,0.204914093018,0.0561194419861,0.0281546924349,1.32496651051
44,98.707668066,1.0267509222,1.12410198124,54.502705104,2,490,"{'n_estimators': 490, 'base_estimator__max_depth': 2}",213,1.09463050535,55.787867312,1.15357345713,53.217542896,0.889442920685,0.039312005043,0.0294714758918,1.28516220797
45,105.801128983,1.00718188286,1.12748703272,54.6372516854,2,500,"{'n_estimators': 500, 'base_estimator__max_depth': 2}",197,1.09889123675,56.0031915997,1.15608282869,53.2713117712,0.225329995155,0.0457279682159,0.0285957959695,1.36593991423
46,107.012201428,1.00154197216,1.13103752512,54.6932359684,2,510,"{'n_estimators': 510, 'base_estimator__max_depth': 2}",190,1.10363796164,56.0427233941,1.15843708861,53.3437485428,2.76279842854,0.0385760068893,0.0273995634844,1.34948742562
47,109.767905116,1.21944701672,1.12878939795,54.6477310788,2,520,"{'n_estimators': 520, 'base_estimator__max_depth': 2}",195,1.09884555435,55.8928198697,1.15873324155,53.402642288,0.578929066658,0.242586016655,0.029943843603,1.24508879083
48,111.991166472,1.03388261795,1.12624019267,54.6702825848,2,530,"{'n_estimators': 530, 'base_estimator__max_depth': 2}",201,1.10128996721,55.8393112701,1.15119041813,53.5012538994,0.612975478172,0.00570559501648,0.0249502254613,1.16902868533
49,118.065809488,1.28262042999,1.1242452969,54.6450911693,2,540,"{'n_estimators': 540, 'base_estimator__max_depth': 2}",211,1.09633490752,55.7341930243,1.15215568628,53.5559893143,2.26590251923,0.208530426025,0.0279103893798,1.089101855
50,115.248409867,1.07595705986,1.12666094778,54.7041711326,2,550,"{'n_estimators': 550, 'base_estimator__max_depth': 2}",199,1.09786997727,55.9094248527,1.15545191829,53.4989174125,2.97663795948,0.00789093971252,0.0287909705139,1.20525372011
51,119.145906448,1.36657893658,1.13116881587,54.6019570631,2,560,"{'n_estimators': 560, 'base_estimator__max_depth': 2}",189,1.10474034516,55.9735761318,1.15759728659,53.2303379944,6.09447741508,0.281895041466,0.0264284707127,1.37161906873
52,125.074451089,1.36046993732,1.12422054814,54.6938212601,2,570,"{'n_estimators': 570, 'base_estimator__max_depth': 2}",212,1.09542438905,55.8863738463,1.15301670723,53.501268674,3.60026490688,0.23838698864,0.0287961590942,1.19255258614
53,124.204595447,1.09771764278,1.1304510667,54.7614863387,2,580,"{'n_estimators': 580, 'base_estimator__max_depth': 2}",193,1.09402901319,55.9274640287,1.1668731202,53.5955086486,1.13493835926,0.0263365507126,0.0364220535066,1.16597769006
54,125.570824504,1.41257858276,1.12575319826,54.6984835477,2,590,"{'n_estimators': 590, 'base_estimator__max_depth': 2}",203,1.09432712542,55.8338690778,1.15717927109,53.5630980176,1.09732043743,0.24397444725,0.0314260728358,1.13538553012
55,127.350700021,1.14638543129,1.12552335073,54.6275662665,2,600,"{'n_estimators': 600, 'base_estimator__max_depth': 2}",207,1.09396575015,55.820426623,1.1570809513,53.4347059101,1.48192894459,0.0273435115814,0.0315576005717,1.19286035645
56,126.545514464,1.14354801178,1.13066678238,54.6826226115,2,610,"{'n_estimators': 610, 'base_estimator__max_depth': 2}",191,1.09629959805,55.9068833495,1.16503396671,53.4583618736,2.10517966747,0.016163110733,0.0343671843298,1.22426073795
57,132.283561468,1.46658694744,1.1265160375,54.7018504188,2,620,"{'n_estimators': 620, 'base_estimator__max_depth': 2}",200,1.09553893369,55.9445199663,1.15749314132,53.4591808713,0.101654529572,0.274040102959,0.0309771038159,1.24266954751
58,132.797858,1.16535758972,1.12602484669,54.7114501773,2,630,"{'n_estimators': 630, 'base_estimator__max_depth': 2}",202,1.09322708549,55.9992361207,1.15882260788,53.4236642338,3.50743794441,0.0125784873962,0.0327977611924,1.28778594343
59,137.167573094,1.44939851761,1.12807063974,54.6850345215,2,640,"{'n_estimators': 640, 'base_estimator__max_depth': 2}",196,1.09381085838,55.9053930537,1.16233042111,53.4646759894,0.734089970589,0.237716436386,0.0342597813633,1.22035853214
60,137.499397516,1.29853248596,1.12458575676,54.6597173284,2,650,"{'n_estimators': 650, 'base_estimator__max_depth': 2}",210,1.09189575198,55.9632429242,1.15727576154,53.3561917327,0.0401895046234,0.0999975204468,0.0326900047779,1.30352559576
